Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
AAPL,188.38,2025/04/04,16:00 EDT,-14.809998,193.925,199.88,187.345,125910913,,,,,,,,
AMZN,171.0,2025/04/04,16:00 EDT,-7.4100037,167.145,178.1436,166.0,123159359,,,,,,,,
AXP,233.68,2025/04/04,16:00 EDT,-13.32,237.92,238.97,228.62,8411184,,,,,,,,
BLK,822.62,2025/04/04,16:00 EDT,-65.03,852.88,860.515,811.1619,1613683,,,,,,,,
BX,125.04,2025/04/04,16:00 EDT,-8.06001,128.1,128.93,119.22,12253016,,,,,,,,
COST,916.48,2025/04/04,16:00 EDT,-50.600037,955.0,964.52,914.4989,5166988,,,,,,,,
CRM,240.76,2025/04/04,16:00 EDT,-14.47,247.7,250.29,239.55,9687242,,,,,,,,
GOOG,147.74,2025/04/04,16:00 EDT,-4.8899994,149.9,153.09,147.55,39449871,,,,,,,,
GS,470.81,2025/04/04,16:00 EDT,-40.42,487.0,491.9998,460.0,8095921,,,,,,,,
JPM,210.28,2025/04/04,16:00 EDT,-17.01,215.305,217.7,208.93,27136867,,,,,,,,
MNST,57.08,2025/04/04,16:00 EDT,-2.5699997,59.51,60.0,57.0,10386403,,,,,,,,
MSFT,359.84,2025/04/04,16:00 EDT,-13.269989,364.125,374.59,359.49,49209854,,,,,,,,
NFLX,855.86,2025/04/04,16:00 EDT,-61.190002,896.5,906.6282,853.87,6798806,,,,,,,,
PLTR,74.01,2025/04/04,16:00 EDT,-9.589996,80.12,80.98,71.9303,147323190,,,,,,,,
QQQ,422.67,2025/04/04,16:00 EDT,-27.98999,438.01,440.35,422.67,117088441,,,,,,,,
SBUX,82.1,2025/04/04,16:00 EDT,-6.1600037,84.59,85.405,81.3,19700142,,,,,,,,
SCHD,25.28,2025/04/04,16:00 EDT,-1.45,26.22,26.3,25.23,45283350,,,,,,,,
SG,20.88,2025/04/04,16:00 EDT,-1.63,21.41,21.8,18.62,7210855,,,,,,,,
SOFI,9.57,2025/04/04,16:00 EDT,-1.0700006,9.99,10.2199,8.88,89686019,,,,,,,,
YUM,147.83,2025/04/04,16:00 EDT,-13.62,157.21,159.32,147.29,4704246
